Name;Coord;Winner;Fitness;TownLifeSum;Score;GameTime
EA21;<437, 5, 200>;False;-8;48;20;8250
EA22;<437, 5, 200>;False;-8;49;20;8250
EA23;<437, 5, 200>;False;-10;86;0;8250
EA24;<437, 5, 200>;False;-10;86;0;8250
EA25;<437, 5, 200>;False;-10;85;0;8250
EA26;<437, 5, 200>;False;-6;29;20;8250
EA27;<437, 5, 200>;False;-10;86;0;8250
EA28;<437, 5, 200>;False;-3;14;15;8250
EA29;<437, 5, 200>;False;-9;52;20;8250
EA30;<437, 5, 200>;False;-11;53;35;8250
EA31;<437, 5, 200>;False;-10;85;0;8250
EA32;<437, 5, 200>;False;-6;33;15;8250
EA33;<437, 5, 200>;False;-10;86;0;8250
EA34;<437, 5, 200>;False;-10;87;0;8250
EA35;<437, 5, 200>;False;-10;85;0;8250
EA36;<437, 5, 200>;False;-10;86;0;8250
EA37;<437, 5, 200>;False;-10;86;0;8250
EA38;<437, 5, 200>;False;-4;17;20;8250
EA39;<437, 5, 200>;False;-10;64;20;8250
EA40;<437, 5, 200>;True;433;70;370;7700
EA41;<437, 5, 200>;False;-4;18;15;8250
EA42;<437, 5, 200>;False;-10;86;0;8250
EA43;<437, 5, 200>;False;-10;85;0;8250
EA44;<437, 5, 200>;False;-10;64;20;8250
EA45;<437, 5, 200>;False;-10;84;0;8250
EA46;<437, 5, 200>;False;-10;86;0;8250
EA47;<437, 5, 200>;False;-8;16;50;8250
EA48;<437, 5, 200>;True;369;61;315;7700
EA49;<437, 5, 200>;False;-10;87;0;8250
EA50;<437, 5, 200>;False;-3;16;15;8250
EA51;<437, 5, 200>;False;-6;34;20;8250
EA52;<437, 5, 200>;False;-5;31;15;8250
EA53;<437, 5, 200>;False;-10;85;0;8250
EA54;<437, 5, 200>;False;-10;86;0;8250
EA55;<437, 5, 200>;False;-10;85;0;8250
EA56;<437, 5, 200>;False;-10;64;20;8250
EA57;<437, 5, 200>;False;-8;17;50;8250
EA58;<437, 5, 200>;False;-12;84;0;7700
EA59;<437, 5, 200>;False;-10;86;0;8250
EA60;<437, 5, 200>;False;-10;85;0;8250
EA61;<437, 5, 200>;False;-10;86;0;8250
EA62;<437, 5, 200>;False;-10;87;0;8250
EA63;<437, 5, 200>;False;-4;24;15;8250
EA64;<437, 5, 200>;False;-5;26;20;8250
EA65;<437, 5, 200>;False;-10;86;0;8250
EA66;<437, 5, 200>;False;-10;86;0;8250
EA67;<437, 5, 200>;False;-10;86;0;8250
EA68;<437, 5, 200>;False;-10;85;0;8250
EA69;<437, 5, 200>;False;-10;86;0;8250
EA70;<437, 5, 200>;False;-4;22;15;8250
EA71;<437, 5, 200>;False;-10;85;0;8250
EA72;<437, 5, 200>;False;-7;39;20;8250
EA73;<437, 5, 200>;False;-4;17;15;8250
EA74;<437, 5, 200>;False;-10;86;0;8250
EA75;<437, 5, 200>;False;-10;83;0;8250
EA76;<437, 5, 200>;False;-10;86;0;8250
EA77;<437, 5, 200>;False;-10;86;0;8250
EA78;<437, 5, 200>;False;-10;87;0;8250
EA79;<437, 5, 200>;False;-8;45;20;8250
EA80;<437, 5, 200>;False;-4;22;15;8250
EA81;<437, 5, 200>;False;-10;86;0;8250
EA82;<437, 5, 200>;True;437;49;395;7700
EA83;<437, 5, 200>;False;-11;53;35;8250
EA84;<437, 5, 200>;False;-7;11;45;8250
EA85;<437, 5, 200>;False;-8;51;20;8250
EA86;<437, 5, 200>;False;-10;86;0;8250
EA87;<437, 5, 200>;False;-10;86;0;8250
EA88;<437, 5, 200>;False;-4;23;15;8250
EA89;<437, 5, 200>;False;-10;86;0;8250
EA90;<437, 5, 200>;False;-10;85;0;8250
EA91;<437, 5, 200>;False;-10;85;0;8250
EA92;<437, 5, 200>;False;-10;85;0;8250
EA93;<437, 5, 200>;False;-7;37;20;8250
EA94;<437, 5, 200>;True;408;65;350;7700
EA95;<437, 5, 200>;False;-8;10;55;8250
EA96;<437, 5, 200>;False;-5;29;15;8250
EA97;<437, 5, 200>;False;-9;58;20;8250
EA98;<437, 5, 200>;False;-10;86;0;8250
EA99;<437, 5, 200>;False;-4;16;20;8250
EA0;<437, 5, 200>;False;-8;45;20;8250
EA1;<437, 5, 200>;False;-10;86;0;8250
EA2;<437, 5, 200>;False;-10;85;0;8250
EA3;<437, 5, 200>;False;-11;70;20;8250
EA4;<437, 5, 200>;False;-7;6;50;8250
EA5;<437, 5, 200>;False;-10;87;0;8250
EA6;<437, 5, 200>;False;-10;86;0;8250
EA7;<437, 5, 200>;False;-5;29;15;8250
EA8;<437, 5, 200>;False;-3;11;20;8250
EA9;<437, 5, 200>;False;-15;8;160;11550
EA10;<437, 5, 200>;False;-10;86;0;8250
