Name;Coord;Winner;Fitness;GameTime;Score;deffScore;suppScore;townLifeDeviation;deff-ConquerRadius;deff-AttackMinLife;deff-SupportRadius;deff-SupportMaxCap;deff-SupportMinCap;off-ConquerRadius;off-AttackMinLife;off-SupportRadius;off-SupportMaxCap;off-SupportMinCap;supp-ConquerRadius;supp-AttackMinLife;supp-SupportRadius;supp-SupportMaxCap;supp-SupportMinCap;SupportTownRatio;DeffTownRatio;AtkTownRatio;CategorisationRadius
EA174;<3468, 5, 958>;False;21;682;40;-20;1;50;1810;77;3211;43;55;1265;38;3132;9;115;1480;58;3370;67;24;50;1;23;1504
EA155;<3468, 5, 958>;False;121;724;160;-40;1;50;3049;70;3873;12;56;3512;27;891;37;35;2415;16;2980;62;44;41;21;70;883
EA151;<3468, 5, 958>;True;232;845;240;-20;12;8.06;1715;13;1458;98;33;3278;21;1855;94;79;2640;85;2316;78;62;94;76;72;531
EA136;<3468, 5, 958>;False;81;703;100;-20;1;50;3728;8;3795;56;86;1919;41;4000;16;99;4000;92;3516;102;94;96;0;0;2757
EA122;<3468, 5, 958>;False;111;853;180;-70;1;50;2538;67;969;12;72;2217;47;3391;28;77;1386;23;3834;28;50;22;58;22;1008
EA120;<3468, 5, 958>;False;1;772;0;0;1;50;1257;84;2979;48;34;877;5;100;73;72;2269;5;2222;35;5;50;41;69;1703
EA116;<3468, 5, 958>;True;95;328;80;0;15;6.4;1928;12;1705;94;38;3511;22;1110;71;53;2609;79;2356;77;59;88;69;72;575
EA63;<3468, 5, 958>;False;1;716;0;0;1;50;100;130;100;67;107;3962;53;100;10;49;2867;86;2325;72;52;88;70;64;856
EA57;<3468, 5, 958>;True;193;675;200;-20;13;7.28;3409;21;3497;61;73;3871;23;100;39;20;2209;5;2609;79;13;32;4;78;979
EA50;<3468, 5, 958>;False;51;730;80;-30;1;50;1535;58;2019;41;51;1994;48;2482;79;78;1732;34;1625;54;41;77;20;0;2513
EA43;<3468, 5, 958>;False;1;701;0;0;1;50;1198;72;948;54;26;3593;79;1527;78;17;2793;43;733;14;31;57;42;44;1181
EA33;<3468, 5, 958>;False;1;652;0;0;1;50;2621;48;965;28;56;4000;54;1666;50;94;1054;82;1764;61;61;80;54;34;2120
EA28;<3468, 5, 958>;False;189;881;240;-70;19;5.05;3733;89;1499;67;87;1189;16;211;33;27;1427;77;236;43;54;80;11;99;1702
EA27;<3468, 5, 958>;False;1;643;0;0;1;50;817;16;2649;78;13;3301;63;3726;14;61;2597;90;1788;92;42;53;2;75;806
EA20;<3468, 5, 958>;False;11;661;20;-10;1;50;1915;59;511;66;22;1467;43;1661;54;77;2917;45;1348;49;69;74;15;16;794
EA2;<3468, 5, 958>;False;1;746;0;0;1;50;858;42;1719;59;58;563;59;3282;76;43;3325;119;4000;5;118;45;20;60;2554
EA12;<3468, 5, 958>;False;21;607;40;-20;1;50;2018;73;2034;63;80;1272;48;2102;33;69;2607;33;2432;32;65;74;11;70;626
EA10;<3468, 5, 958>;True;116;410;120;-20;16;5.88;2494;60;2377;86;39;3034;18;2388;82;77;2843;89;2558;58;51;76;82;68;679
EA188;<3468, 5, 958>;False;1;790;0;0;1;50;3101;82;837;21;5;100;100;161;52;89;2658;87;2633;103;23;57;59;65;3234
EA191;<3468, 5, 958>;True;176;606;180;-20;16;5.97;2466;55;1978;67;67;3176;23;1540;7;58;3178;57;1801;70;63;6;32;45;500
EA167;<3468, 5, 958>;False;1;653;0;0;1;50;1021;39;924;67;48;1006;102;4000;95;81;230;86;346;96;26;48;32;15;1461
EA163;<3468, 5, 958>;False;1;669;0;0;1;50;2583;66;2356;102;16;2927;32;2654;55;64;1958;68;1967;63;55;49;39;73;2707
EA133;<3468, 5, 958>;False;131;877;180;-50;1;50;1386;38;1032;90;24;2016;44;1355;52;66;100;35;1576;5;48;100;14;0;1697
EA115;<3468, 5, 958>;False;1;652;0;0;1;50;2309;50;2762;47;17;2499;64;1187;33;58;3513;79;2400;70;45;46;72;100;3872
EA94;<3468, 5, 958>;False;21;628;20;0;1;50;4000;102;633;26;86;1658;41;960;69;98;2323;65;2262;72;49;87;70;77;710
EA72;<3468, 5, 958>;True;159;233;100;0;59;1.57;2932;75;1044;48;74;3447;5;1329;34;41;1401;63;100;40;48;100;22;100;1081
EA45;<3468, 5, 958>;False;41;714;80;-40;1;50;1708;67;415;69;22;2010;41;1723;64;63;476;51;2273;40;47;99;84;0;157
EA39;<3468, 5, 958>;False;11;724;20;-10;1;50;2832;44;3150;47;44;964;47;2404;49;19;1563;59;2896;32;35;72;1;7;2211
EA22;<3468, 5, 958>;False;141;992;220;-80;1;50;4000;5;4000;56;84;3587;39;526;36;25;2136;18;2684;50;31;61;5;53;2754
EA24;<3468, 5, 958>;False;1;803;0;0;1;50;1552;32;3367;5;55;1521;57;2143;63;44;1183;17;2544;45;32;35;38;80;1594
EA5;<3468, 5, 958>;False;141;793;200;-60;1;50;2381;61;2806;86;92;2948;24;1675;99;73;956;10;3807;23;61;94;88;93;221
EA3;<3468, 5, 958>;False;1;670;0;0;1;50;2960;94;773;38;69;3590;36;980;70;93;100;89;4000;26;109;30;83;44;2040
EA14;<3468, 5, 958>;True;302;420;280;-20;42;2.27;3082;62;1790;53;59;1657;5;1379;5;75;146;40;2807;67;49;81;74;1;1667
EA148;<3468, 5, 958>;False;1;676;0;0;1;50;2028;21;2047;78;5;2604;27;2000;5;56;2606;66;2791;78;72;54;26;18;1557
EA105;<3468, 5, 958>;True;263;1022;320;-70;13;7.47;1715;13;1458;98;33;3278;21;1855;94;79;2640;85;2316;78;62;94;76;72;531
EA109;<3468, 5, 958>;False;1;640;0;0;1;50;2686;67;1500;31;15;100;89;1010;13;99;2873;59;2363;89;51;62;91;79;3549
EA106;<3468, 5, 958>;False;1;691;0;0;1;50;3574;5;3860;64;98;3383;24;538;46;60;2685;53;3738;79;42;61;5;74;4000
EA103;<3468, 5, 958>;False;1;672;0;0;1;50;2974;5;3982;26;6;2472;59;1786;27;64;2842;40;3546;55;37;33;32;9;2552
EA102;<3468, 5, 958>;False;1;643;0;0;1;50;216;16;176;62;74;1932;68;2354;55;44;1459;48;2477;58;51;33;13;58;2537
EA83;<3468, 5, 958>;False;1;651;0;0;1;50;1244;81;626;49;18;3902;68;1374;58;53;1931;74;1901;21;43;67;86;39;2929
EA68;<3468, 5, 958>;False;1;653;0;0;1;50;2505;32;1777;28;37;2353;64;3102;27;29;803;6;3091;67;73;3;10;100;2600
EA54;<3468, 5, 958>;False;1;656;0;0;1;50;2258;29;1174;51;11;1140;100;2317;46;39;1074;67;3365;42;80;57;31;11;2110
EA51;<3468, 5, 958>;False;1;809;0;0;1;50;1999;41;1233;82;29;2944;84;3821;12;35;2574;69;874;57;49;76;51;49;2452
EA0;<3468, 5, 958>;False;101;918;200;-100;1;50;2381;61;2806;86;92;2948;24;1675;99;73;956;10;3807;23;61;94;88;93;221
EA11;<3468, 5, 958>;False;1;668;0;0;1;50;2105;90;2384;61;23;216;135;100;102;5;3053;64;2169;54;64;83;29;60;596
EA198;<3468, 5, 958>;True;253;700;300;-70;23;4.14;1167;94;323;77;18;3697;5;3973;5;44;3623;61;1457;68;59;21;39;64;830
EA181;<3468, 5, 958>;False;1;673;0;0;1;50;2686;81;439;25;73;972;101;2458;36;5;623;64;3552;31;82;0;52;25;968
EA176;<3468, 5, 958>;False;21;648;40;-20;1;50;997;19;3122;32;19;1104;31;3223;12;87;2299;56;3089;78;41;72;7;77;1245
EA161;<3468, 5, 958>;False;1;682;0;0;1;50;2365;55;1832;90;31;2881;32;2749;52;62;1806;63;755;54;65;22;84;50;2122
EA135;<3468, 5, 958>;False;1;676;0;0;1;50;1652;62;334;68;27;2300;32;2333;78;71;3221;52;2722;77;86;82;31;27;1218
EA131;<3468, 5, 958>;False;1;694;0;0;1;50;337;5;3846;5;11;3235;25;1311;137;13;2823;59;2456;70;63;76;71;62;1111
EA132;<3468, 5, 958>;False;1;682;0;0;1;50;2803;34;667;24;49;2386;66;3610;27;31;1781;60;1381;57;61;73;42;47;2379
EA125;<3468, 5, 958>;False;81;700;140;-60;1;50;3821;5;3726;56;98;2614;25;1952;64;47;1370;17;1827;37;26;30;20;73;930
EA119;<3468, 5, 958>;False;1;666;0;0;1;50;2720;86;967;64;78;2261;51;1930;39;59;1926;74;2575;50;82;37;54;52;895
EA104;<3468, 5, 958>;False;1;725;0;0;1;50;1235;30;2322;48;53;100;5;4000;5;95;636;27;3578;70;83;70;1;81;2269
EA87;<3468, 5, 958>;False;21;579;20;0;1;50;2060;65;1731;53;16;1851;41;1759;62;41;1721;96;3285;51;45;90;58;10;582
EA61;<3468, 5, 958>;False;1;798;0;0;1;50;2380;42;2471;53;33;2571;41;1727;51;46;2466;73;2665;59;55;35;39;86;1839
EA62;<3468, 5, 958>;False;1080;736;140;-60;1000;0;2394;66;136;13;77;1730;83;2012;46;14;1241;24;3906;26;49;18;57;21;1050
EA58;<3468, 5, 958>;False;51;698;80;-30;1;50;2897;80;1141;90;88;1779;49;622;12;5;3640;56;1888;71;64;27;39;60;754
EA56;<3468, 5, 958>;False;1;654;0;0;1;50;1197;63;1499;9;51;2709;72;996;52;67;2801;57;2659;41;24;38;56;11;2943
EA52;<3468, 5, 958>;False;1;715;0;0;1;50;2301;31;2539;31;29;2233;59;1244;30;25;768;5;3153;68;74;10;13;98;2580
EA40;<3468, 5, 958>;False;51;793;80;-30;1;50;3500;109;323;48;90;1734;19;2723;28;82;2699;36;2765;81;79;87;35;39;820
EA32;<3468, 5, 958>;True;99;343;80;0;19;5.15;2016;70;2878;33;71;4000;22;1983;101;78;2407;79;1784;65;66;100;99;76;100
EA23;<3468, 5, 958>;True;147;630;160;-20;7;12.63;1715;13;1458;98;33;3278;21;1855;94;79;2640;85;2316;78;62;94;76;72;531
EA15;<3468, 5, 958>;False;1;639;0;0;1;50;2301;31;2539;31;29;2233;59;1244;30;25;768;5;3153;68;74;10;13;98;2580
EA194;<3468, 5, 958>;False;191;871;260;-70;1;50;1715;13;1458;98;33;3278;21;1855;94;79;2640;85;2316;78;62;94;76;72;531
EA196;<3468, 5, 958>;False;1;656;0;0;1;50;574;5;3693;25;6;100;5;4000;5;90;1343;32;2683;81;69;83;0;84;728
EA179;<3468, 5, 958>;False;151;803;220;-70;1;50;1589;5;4000;7;32;2907;38;437;76;30;2305;39;1562;44;25;49;45;5;2494
EA173;<3468, 5, 958>;False;1;670;0;0;1;50;2568;19;3240;43;28;1977;77;980;24;67;2631;74;1720;91;35;63;7;11;2187
EA156;<3468, 5, 958>;False;41;658;60;-20;1;50;3728;8;3795;56;86;1919;41;4000;16;99;4000;92;3516;102;94;96;0;0;2757
EA165;<3468, 5, 958>;True;132;251;100;0;32;3.02;3183;31;2795;69;49;2047;5;1284;5;79;100;32;2678;75;39;18;63;4;2639
EA150;<3468, 5, 958>;False;1;722;0;0;1;50;1949;18;318;7;42;1972;76;3352;26;72;2253;24;2946;46;113;83;26;59;2951
EA146;<3468, 5, 958>;False;1;780;0;0;1;50;2808;33;2727;64;56;1790;39;1585;58;38;1978;49;2827;60;38;15;17;53;2465
EA142;<3468, 5, 958>;False;121;798;160;-40;1;50;3666;8;3722;63;86;3826;25;110;41;20;2245;13;2841;71;30;30;3;81;1011
EA141;<3468, 5, 958>;False;1;708;0;0;1;50;2336;23;1564;48;9;2610;37;100;5;5;1584;45;2719;54;54;47;31;12;2202
EA127;<3468, 5, 958>;False;1;664;0;0;1;50;2739;71;719;35;75;2175;62;1834;42;21;1344;49;1440;35;48;100;11;100;1090
EA117;<3468, 5, 958>;False;1;649;0;0;1;50;2474;94;2588;101;107;1195;65;672;89;56;2221;46;2182;29;74;20;36;45;1718
EA96;<3468, 5, 958>;False;1;675;0;0;1;50;1893;65;1052;20;57;3491;36;3961;99;57;2852;26;731;71;12;59;51;58;3366
EA89;<3468, 5, 958>;False;231;752;240;-10;1;50;2522;18;2145;55;15;2431;42;736;24;17;2093;74;2622;26;36;100;79;0;121
EA84;<3468, 5, 958>;False;81;801;120;-40;1;50;1639;67;278;71;22;2084;41;1732;67;80;192;41;2099;39;47;88;18;13;1403
EA77;<3468, 5, 958>;False;1;654;0;0;1;50;1576;35;2436;43;64;465;62;1426;20;16;3214;49;1002;81;9;39;70;0;2311
EA75;<3468, 5, 958>;True;143;468;140;-10;13;7.46;2546;55;3004;75;67;3226;23;2946;70;68;2498;100;3910;34;64;79;70;78;398
EA47;<3468, 5, 958>;False;1;679;0;0;1;50;3593;27;2573;62;60;2132;91;1457;29;61;2408;105;2705;62;103;57;29;10;1534
EA44;<3468, 5, 958>;False;91;608;120;-30;1;50;1214;34;1803;74;16;2043;17;1282;32;75;557;52;2547;64;45;70;25;0;1346
EA37;<3468, 5, 958>;False;1;659;0;0;1;50;3338;68;4000;5;70;3769;73;2079;48;43;2679;18;3321;50;66;86;51;48;299
EA25;<3468, 5, 958>;False;81;795;160;-80;1;50;2275;78;1531;64;76;1189;11;100;5;85;1124;39;2281;61;43;63;17;7;1152
EA13;<3468, 5, 958>;False;1;665;0;0;1;50;2894;49;3291;86;17;3996;22;2003;100;76;2714;88;1687;64;56;44;25;90;2107
EA199;<3468, 5, 958>;False;41;682;40;0;1;50;3638;7;3881;34;7;2365;58;1607;29;29;1681;77;1597;92;50;90;0;0;2771
EA189;<3468, 5, 958>;False;1;763;0;0;1;50;846;49;213;94;99;1509;53;1418;10;5;2718;22;3359;59;60;57;25;4;2595
EA183;<3468, 5, 958>;False;201;799;240;-40;1;50;2970;95;764;37;70;3269;45;987;59;83;1336;81;3090;45;80;100;77;0;1221
EA178;<3468, 5, 958>;False;21;766;40;-20;1;50;1780;54;100;116;39;1938;47;3100;83;43;2501;53;3348;57;49;31;67;90;311
EA180;<3468, 5, 958>;False;71;673;140;-70;1;50;1076;33;3229;36;23;998;7;100;76;68;2536;12;2449;52;35;63;10;76;1217
EA171;<3468, 5, 958>;False;81;812;140;-60;1;50;2246;35;1766;56;14;2331;42;693;21;15;1687;108;3128;44;44;99;77;0;225
EA170;<3468, 5, 958>;False;1;664;0;0;1;50;146;38;1951;93;79;1760;82;2026;20;44;1169;91;3040;48;79;78;10;30;3350
EA166;<3468, 5, 958>;False;31;690;40;-10;1;50;1243;94;389;58;8;3846;48;1714;79;61;2107;75;2250;14;26;3;16;51;565
EA162;<3468, 5, 958>;False;61;682;80;-20;1;50;1245;93;393;57;8;4000;49;1412;87;56;2230;63;2452;21;34;67;71;41;510
EA114;<3468, 5, 958>;False;101;793;180;-80;1;50;3113;78;1329;42;73;3773;28;314;48;39;896;62;3241;44;77;100;96;0;1539
EA111;<3468, 5, 958>;True;168;294;100;0;68;1.37;3299;31;2512;66;59;2141;5;1253;63;54;2602;60;1554;40;30;28;9;79;959
EA88;<3468, 5, 958>;True;244;1043;320;-90;14;6.83;3170;70;1382;23;87;4000;19;1976;103;77;2467;70;1929;64;70;100;100;72;100
EA93;<3468, 5, 958>;False;31;656;60;-30;1;50;1356;34;697;43;57;1988;38;3576;36;92;2736;65;2320;63;67;66;56;20;533
EA91;<3468, 5, 958>;False;1;667;0;0;1;50;2065;33;2870;13;66;109;92;2412;67;47;1230;20;3088;35;39;26;54;47;1438
EA82;<3468, 5, 958>;False;111;708;140;-30;1;50;2978;96;743;37;71;3625;37;895;71;95;358;82;3401;34;97;97;77;1;1429
EA66;<3468, 5, 958>;False;91;739;140;-50;1;50;2157;53;1599;67;29;2497;32;1773;75;57;1747;92;2899;50;49;96;58;0;541
EA59;<3468, 5, 958>;False;1;675;0;0;1;50;1448;74;2987;59;60;507;5;100;74;77;1300;30;2485;37;28;42;42;57;1402
EA53;<3468, 5, 958>;False;21;829;40;-20;1;50;1295;98;377;57;5;3153;60;2263;82;65;2601;72;2779;5;26;5;5;28;2039
EA36;<3468, 5, 958>;False;1;674;0;0;1;50;1820;22;2753;45;52;2687;33;1954;85;68;1560;31;2396;51;38;49;56;69;1876
EA30;<3468, 5, 958>;False;1;657;0;0;1;50;1858;14;1310;5;7;1926;14;592;80;47;4000;76;2016;73;19;52;52;66;3394
EA8;<3468, 5, 958>;False;1;672;0;0;1;50;2858;5;3666;93;39;2223;43;2575;79;63;1218;27;3464;27;49;77;12;19;2685
EA152;<3468, 5, 958>;False;1;653;0;0;1;50;2551;94;2494;50;63;618;32;834;60;64;2409;41;3349;44;53;52;89;29;533
EA145;<3468, 5, 958>;False;1;798;0;0;1;50;1363;69;4000;63;90;3450;42;2444;39;77;100;19;1732;36;54;79;28;26;1466
EA143;<3468, 5, 958>;False;101;668;120;-20;1;50;2022;63;1241;60;48;2310;25;2905;96;85;4000;117;3269;59;120;63;57;8;1075
EA137;<3468, 5, 958>;False;121;719;240;-120;1;50;926;10;3453;29;19;795;11;3640;7;75;2925;32;2687;86;78;75;1;78;1088
EA128;<3468, 5, 958>;False;91;774;140;-50;1;50;3821;5;3726;56;98;2614;25;1952;64;47;1370;17;1827;37;26;30;20;73;930
EA123;<3468, 5, 958>;False;51;593;80;-30;1;50;2835;81;1558;49;72;1509;19;819;62;60;100;73;3151;34;111;96;77;0;1430
EA118;<3468, 5, 958>;False;31;712;40;-10;1;50;3706;95;4000;5;62;1533;56;2759;115;11;2543;10;3554;57;78;60;73;36;524
EA113;<3468, 5, 958>;False;1;688;0;0;1;50;559;93;249;66;5;3885;49;1859;80;54;2011;75;2312;15;29;51;47;25;1006
EA99;<3468, 5, 958>;False;171;780;240;-70;1;50;3043;71;3875;12;56;2353;37;3777;23;95;2684;22;3199;50;67;75;77;40;505
EA90;<3468, 5, 958>;False;51;682;100;-50;1;50;2629;54;3017;66;77;771;9;639;62;58;2261;90;3731;41;65;16;94;2;3654
EA78;<3468, 5, 958>;False;1;838;0;0;1;50;2971;18;2912;68;69;2343;13;306;58;16;2592;29;3041;65;24;15;19;57;2638
EA76;<3468, 5, 958>;False;161;859;240;-80;1;50;1725;16;1287;85;43;1967;35;2545;73;68;2633;41;2672;68;83;92;72;68;582
EA71;<3468, 5, 958>;False;1;673;0;0;1;50;3839;102;1379;67;96;1112;51;2261;32;65;2082;44;2007;48;60;40;39;70;1932
EA64;<3468, 5, 958>;False;1;664;0;0;1;50;3587;8;3614;62;97;3853;19;601;47;52;2530;50;3461;77;40;66;21;77;4000
EA31;<3468, 5, 958>;False;1;658;0;0;1;50;2837;97;1368;78;57;304;80;685;71;18;2407;37;4000;43;42;10;70;100;100
EA17;<3468, 5, 958>;False;1;649;0;0;1;50;3162;11;3297;80;43;2971;41;846;21;28;2155;52;2454;42;70;57;29;40;2777
EA9;<3468, 5, 958>;False;91;721;120;-30;1;50;554;98;148;72;48;3791;38;143;27;64;2231;67;2651;53;34;37;23;0;4000
EA159;<3468, 5, 958>;False;101;802;140;-40;1;50;1621;12;3426;42;51;3518;64;1765;55;64;3679;5;100;42;104;0;88;0;2104
EA157;<3468, 5, 958>;False;1;866;0;0;1;50;1931;48;2236;49;71;2181;25;503;33;35;4000;72;1839;104;5;71;17;88;2013
EA153;<3468, 5, 958>;False;161;809;260;-100;1;50;3666;8;3722;63;86;3826;25;110;41;20;2245;13;2841;71;30;30;3;81;1011
EA149;<3468, 5, 958>;True;132;434;120;0;12;7.85;3666;8;3722;63;86;3826;25;110;41;20;2245;13;2841;71;30;30;3;81;1011
EA140;<3468, 5, 958>;False;1;649;0;0;1;50;2791;111;2379;25;93;2430;31;2700;87;80;1073;47;1858;39;49;60;58;41;3183
EA130;<3468, 5, 958>;False;61;744;80;-20;1;50;1379;83;1244;67;43;3078;47;1379;84;57;1916;65;1958;48;32;68;72;41;459
EA134;<3468, 5, 958>;False;81;565;120;-40;1;50;425;25;588;72;58;2383;17;2221;88;74;1161;46;876;36;37;61;61;23;307
EA112;<3468, 5, 958>;False;1;849;0;0;1;50;2373;82;1750;63;88;3912;35;4000;113;54;2987;25;1475;66;37;78;23;66;1344
EA108;<3468, 5, 958>;False;1;720;0;0;1;50;1962;65;1440;63;54;2456;22;2987;81;77;3587;70;1800;61;72;43;49;12;750
EA100;<3468, 5, 958>;False;1;649;0;0;1;50;2776;32;372;16;53;3118;52;3284;42;29;2855;92;1543;62;48;64;34;56;2459
EA95;<3468, 5, 958>;False;1;782;0;0;1;50;1878;29;1781;66;57;991;57;748;32;47;2993;48;1147;55;35;25;28;54;2405
EA98;<3468, 5, 958>;False;1;644;0;0;1;50;2360;35;2945;50;69;3575;42;1003;65;48;877;34;2293;97;74;4;100;24;4000
EA74;<3468, 5, 958>;False;1;808;0;0;1;50;162;12;645;54;77;2839;31;2064;59;43;1261;46;2750;44;52;0;79;76;3084
EA60;<3468, 5, 958>;False;71;657;120;-50;1;50;2426;50;3331;70;72;1888;14;1595;46;53;2083;112;4000;23;66;21;91;2;3451
EA29;<3468, 5, 958>;False;191;926;280;-90;1;50;1411;61;1028;33;40;3636;39;891;69;93;516;80;3136;34;93;82;73;13;1650
EA34;<3468, 5, 958>;True;200;653;200;-10;10;9.49;3969;5;3934;57;84;3101;26;1574;85;65;2414;11;2731;77;25;57;40;86;673
EA38;<3468, 5, 958>;True;96;307;80;0;16;6.14;2494;60;2377;86;39;3034;18;2388;82;77;2843;89;2558;58;51;76;82;68;679
EA16;<3468, 5, 958>;False;1;668;0;0;1;50;2738;75;4000;43;5;3091;11;349;69;20;3940;76;4000;56;5;45;47;77;3411
EA4;<3468, 5, 958>;False;31;820;40;-10;1;50;2353;57;1359;48;42;4000;65;3101;61;114;752;102;443;103;52;91;49;7;1640
EA7;<3468, 5, 958>;False;1;782;0;0;1;50;1579;38;2517;102;22;2637;45;1994;81;67;1370;74;3092;49;76;49;53;17;1985
EA195;<3468, 5, 958>;False;21;637;20;0;1;50;3171;22;2255;57;73;2907;57;1401;48;58;1224;55;2944;42;50;0;42;0;1602
EA190;<3468, 5, 958>;False;71;739;120;-50;1;50;2900;23;3433;62;73;3292;37;568;41;33;2720;63;3440;37;66;29;9;92;1511
EA184;<3468, 5, 958>;False;81;736;120;-40;1;50;2246;35;1766;56;14;2331;42;693;21;15;1687;108;3128;44;44;99;77;0;225
EA186;<3468, 5, 958>;False;21;626;40;-20;1;50;1944;78;2801;46;61;2033;40;2317;56;98;2123;37;3175;83;5;89;67;4;1641
EA177;<3468, 5, 958>;False;161;837;220;-60;1;50;2381;61;2806;86;92;2948;24;1675;99;73;956;10;3807;23;61;94;88;93;221
EA172;<3468, 5, 958>;False;1;662;0;0;1;50;3122;40;2099;70;47;4000;111;4000;65;25;3481;92;1360;43;34;28;8;80;964
EA169;<3468, 5, 958>;False;1;650;0;0;1;50;1175;30;2357;48;54;597;9;3447;6;76;189;32;3753;69;96;45;10;49;1489
EA168;<3468, 5, 958>;False;1;636;0;0;1;50;577;38;589;64;45;987;111;4000;106;87;100;93;100;107;19;48;48;31;1080
EA160;<3468, 5, 958>;False;1;813;0;0;1;50;100;5;1649;42;83;4000;101;3896;5;59;718;91;639;99;53;79;69;45;805
EA164;<3468, 5, 958>;True;132;512;140;-20;12;8.01;2845;92;1036;36;71;4000;19;2171;106;75;3288;77;1088;78;52;97;83;23;1029
EA147;<3468, 5, 958>;False;1;678;0;0;1;50;2876;27;2229;59;44;2071;41;1277;11;5;2042;31;710;89;92;58;26;16;1995
EA139;<3468, 5, 958>;False;1;650;0;0;1;50;815;21;2715;32;62;3632;44;488;37;46;3857;62;1440;71;58;8;42;76;1029
EA138;<3468, 5, 958>;False;1;677;0;0;1;50;3197;97;1207;97;97;1773;57;2311;33;45;4000;62;802;75;88;1;32;70;908
EA124;<3468, 5, 958>;False;1;834;0;0;1;50;825;38;1583;67;68;100;40;4000;134;5;2509;43;2588;74;57;60;24;41;2981
EA101;<3468, 5, 958>;False;81;729;140;-60;1;50;1619;32;1041;45;61;2165;31;2503;89;75;1381;38;1037;23;40;63;63;23;257
EA97;<3468, 5, 958>;False;101;801;180;-80;1;50;3783;5;3622;83;91;3822;27;226;41;21;2055;10;2631;80;14;27;0;82;1048
EA92;<3468, 5, 958>;False;1;668;0;0;1;50;3873;92;1545;68;97;2050;19;2330;71;52;960;46;2724;47;63;89;17;43;1464
EA80;<3468, 5, 958>;False;1;665;0;0;1;50;2331;83;793;37;54;2820;54;1600;76;61;2559;23;2475;56;94;72;27;55;2813
EA69;<3468, 5, 958>;False;121;746;160;-40;1;50;2300;45;1193;38;39;2425;36;483;16;14;1586;87;3225;41;45;92;75;1;291
EA46;<3468, 5, 958>;False;1;652;0;0;1;50;1713;66;1577;33;33;1173;61;1456;42;20;1123;61;2924;47;68;71;50;31;1410
EA21;<3468, 5, 958>;True;145;336;140;-10;15;6.49;3645;93;1435;92;88;3509;5;3627;10;48;3853;62;1435;71;60;3;43;80;663
EA197;<3468, 5, 958>;True;123;441;120;-10;13;7.06;3666;8;3722;63;86;3826;25;110;41;20;2245;13;2841;71;30;30;3;81;1011
EA187;<3468, 5, 958>;False;161;796;240;-80;1;50;3546;61;3909;23;68;4000;16;100;23;10;2457;11;3249;61;60;49;48;52;700
EA185;<3468, 5, 958>;False;131;592;180;-50;1;50;2724;26;1981;50;45;2112;12;1531;32;72;1192;39;1328;30;40;59;60;22;284
EA182;<3468, 5, 958>;True;177;381;160;-10;27;3.5;1721;77;2245;78;82;3121;9;3360;14;41;3472;57;1387;62;59;14;39;20;276
EA158;<3468, 5, 958>;False;1;712;0;0;1;50;100;126;100;90;108;1747;21;2578;15;69;3271;59;2528;71;50;61;11;45;2102
EA154;<3468, 5, 958>;False;131;791;200;-70;1;50;2510;50;2490;70;46;3030;19;2395;81;78;2560;41;2656;51;62;98;23;100;1054
EA144;<3468, 5, 958>;False;1;652;0;0;1;50;1094;86;632;76;12;2181;42;1269;58;68;2750;87;2532;56;51;80;70;54;845
EA129;<3468, 5, 958>;False;1;662;0;0;1;50;3252;82;100;5;106;1487;87;1988;33;5;2149;66;3151;53;25;0;57;28;1187
EA126;<3468, 5, 958>;False;1;854;0;0;1;50;1163;63;1507;15;38;1292;58;1497;46;24;1227;68;2936;47;64;56;43;48;1943
EA121;<3468, 5, 958>;False;1;641;0;0;1;50;840;41;719;65;48;1167;95;3620;85;72;823;75;1018;78;40;37;37;13;1156
EA110;<3468, 5, 958>;False;1;655;0;0;1;50;1484;30;321;62;78;2299;39;1422;20;15;2560;55;3039;72;64;52;16;100;3454
EA107;<3468, 5, 958>;False;1;693;0;0;1;50;1018;80;351;72;55;2127;19;1343;32;74;3602;89;2360;55;20;52;21;7;2472
EA70;<3468, 5, 958>;False;291;1447;520;-230;1;50;2370;60;100;5;79;3360;62;2153;43;66;1284;15;4000;17;48;19;57;20;1061
EA86;<3468, 5, 958>;False;91;693;120;-30;1;50;2131;34;1511;60;12;2423;39;2003;14;48;2449;62;2920;72;70;80;5;16;1920
EA85;<3468, 5, 958>;False;1;657;0;0;1;50;2406;65;100;5;89;1754;77;1971;48;17;1479;66;3330;39;48;0;53;28;1274
EA79;<3468, 5, 958>;False;161;744;220;-60;1;50;997;49;396;85;88;2163;40;1289;12;5;3013;40;3228;73;79;100;29;0;1034
EA81;<3468, 5, 958>;False;151;732;200;-50;1;50;100;138;100;65;111;3582;35;893;56;65;3071;87;2333;68;44;19;1;0;4000
EA73;<3468, 5, 958>;False;1;836;0;0;1;50;2924;62;1831;79;61;2745;17;1935;75;68;1900;76;982;49;53;90;31;93;1063
EA65;<3468, 5, 958>;False;31;670;40;-10;1;50;1245;93;393;57;8;4000;49;1412;87;56;2230;63;2452;21;34;67;71;41;510
EA55;<3468, 5, 958>;False;101;774;160;-60;1;50;2246;35;1766;56;14;2331;42;693;21;15;1687;108;3128;44;44;99;77;0;225
EA48;<3468, 5, 958>;False;51;685;100;-50;1;50;2191;54;1566;63;47;2317;27;2666;86;76;3824;110;3195;57;115;64;53;9;1191
